Plant ID,Plant name (English),Owner,Owner GEM ID,Parent,Parent GEM ID,Subnational unit (province/state),Country/Area,Region,Plant age (years),Start date,Workforce size,Status,Nominal crude steel capacity (ttpa),Latitude_plant,Longitude_plant,geometry,environmental_indicator,Latitude_station,Longitude_station,distance_km,environmental_indicator_log
P100000120020,Abul Khair Steel Sitakunda plant,Abul Khair Steel Ltd,E100000131068,Abul Khair Ltd,E100000131048,Chittagong,Bangladesh,Asia Pacific,10,2015,,operating,1400,22.472008,91.734827,POINT (10211874.229649043 2568290.5944320345),14497025.329727666,23.04166667,91.70833333,68.831,16.489
P100000120022,BSRM Ltd Mirsarai plant,Bangladesh Steel Re-Rolling Mills Ltd,E100000120118,Bangladesh Steel Re-Rolling Mills Ltd [100.0%],E100000120118 [100.0%],Chattogram,Bangladesh,Asia Pacific,9,,1250,operating,1625,22.870631,91.545862,POINT (10190838.742071293 2616381.1246735654),56441177.06437761,23.04166667,91.54166667,20.682,17.849
P100000120021,BSRM Steels Mirsarai plant,BSRM Steels Ltd,E100000130854,BSRM Steels Ltd [100.0%],E100000130854 [100.0%],Chattogram,Bangladesh,Asia Pacific,6,2019,1250,operating,800,22.873774,91.545562,POINT (10190805.346224055 2616760.858774851),56441177.06437761,23.04166667,91.54166667,20.302,17.849
P100000120018,GPH Steel Sitakunda plant,GPH Ispat Ltd,E100000130987,GPH Ispat Ltd [100.0%],E100000130987 [100.0%],Chittagong,Bangladesh,Asia Pacific,17,,2233,operating,1051,22.536569,91.700729,POINT (10208078.457651975 2576069.87814501),14497025.329727666,23.04166667,91.70833333,60.994,16.489
P100000120024,KSRM Sitakunda steel plant,KSRM Steel Plant Ltd,E100000131041,KSRM Steel Plant Ltd [100.0%],E100000131041 [100.0%],Chittagong,Bangladesh,Asia Pacific,41,1984,2500,operating,800,22.499834,91.715778,POINT (10209753.704668922 2571643.0456217835),14497025.329727666,23.04166667,91.70833333,65.42,16.489
P100000120056,Byelorussian Steel Works,BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC,E100000130960,BMZ-Upravlyayushchaya Kompaniya Kholdinga BMK JSC [100.0%],E100000130960 [100.0%],Gomel Region,Belarus,Europe,41,1984,11789,operating,3000,52.849321,29.988985,POINT (3338358.539607119 6955174.873503359),69838.97000546272,39.95833333,73.95833333,5324.263,11.154
P100000120029,Aperam Stainless Belgium Châtelet steel plant,Aperam Stainless Belgium NV,E100000130918,Aperam SA [100.0%],E100000130966 [100.0%],Wallonie,Belgium,Europe,49,1976,1998,operating,1000,50.414998,4.532443,POINT (504549.24680953723 6518458.807314513),293.8831668379416,39.29166667,73.625,7889.017,5.687
P100000120028,Aperam Stainless Belgium Genk steel plant,Aperam Stainless Belgium NV,E100000130918,Aperam SA [100.0%],E100000130966 [100.0%],Limburg,Belgium,Europe,55,1970,1138,operating,1200,50.933973,5.511494,POINT (613536.7055901826 6609622.610832751),293.8831668379416,39.29166667,73.625,7803.86,5.687
P100000120027,ArcelorMittal Gent steel plant,ArcelorMittal SA,E100000000687,ArcelorMittal SA [100.0%],E100000000687 [100.0%],Vlaanderen,Belgium,Europe,59,1966,1933,operating,2500,51.169929,3.804462,POINT (423510.77258235915 6651407.418738255),293.8831668379416,39.29166667,73.625,7998.378,5.687
P100000120030,Thy Marcinelle Charleroi steel plant,Thy-Marcinelle SA,E100001010367,Riva Forni Elettrici SpA,E100000131000,Wallonie,Belgium,Europe,36,1989,445,operating,800,50.410335,4.429693,POINT (493111.16913052846 6517644.24501548),293.8831668379416,39.29166667,73.625,7899.988,5.687
