Plant ID,Plant name (English),Owner,Owner GEM ID,Parent,Parent GEM ID,Subnational unit (province/state),Country/Area,Region,Plant age (years),Start date,Workforce size,Status,Nominal crude steel capacity (ttpa),Latitude,Longitude
P100000120027,ArcelorMittal Gent steel plant,ArcelorMittal SA,E100000000687,ArcelorMittal SA [100.0%],E100000000687 [100.0%],Vlaanderen,Belgium,Europe,59,1966,1933,operating,2500,51.169929,3.804462
P100000120030,Thy Marcinelle Charleroi steel plant,Thy-Marcinelle SA,E100001010367,Riva Forni Elettrici SpA,E100000131000,Wallonie,Belgium,Europe,36,1989,445,operating,800,50.410335,4.429693
P100000121153,ESM Mutún steel plant,Empresa Siderúrgica del Mutún,E100002000080,Empresa Siderúrgica del Mutún [100.0%],E100002000080 [100.0%],Santa Cruz,Bolivia,Central & South America,1,,700,operating,200,-19.137325,-57.880605
P100000120017,Pavgord Zenica steel plant,Pavgord doo,E100001013687,Pavgord doo [100.0%],E100001013687 [100.0%],Zenica-Doboj,Bosnia and Herzegovina,Europe,133,1892,2200,operating,1940,44.224446,17.899815
P100000120053,Aperam Timóteo steel plant,Aperam Inox America do Sul SA,E100000130690,Aperam SA,E100000130966,Minas Gerais,Brazil,Central & South America,76,1949,2317,operating,900,-19.531272,-42.639979
P100000120050,ArcelorMittal Barra Mansa steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],Rio de Janeiro,Brazil,Central & South America,88,1937,232,operating,800,-22.525806,-44.191067
P100000120045,ArcelorMittal Juiz de Fora steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],Minas Gerais,Brazil,Central & South America,41,1984,1000,operating,1100,-21.626963,-43.462361
P100000120035,ArcelorMittal Monlevade steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],Minas Gerais,Brazil,Central & South America,88,1937,975,operating,1200,-19.832129,-43.130164
P100000120040,ArcelorMittal Pecém steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],Ceará,Brazil,Central & South America,9,2016,2500,operating,3000,-3.585917,-38.858932
P100000120041,ArcelorMittal Piracicaba steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],São Paulo,Brazil,Central & South America,70,1955,500,operating,1100,-22.698154,-47.657146
P100000120036,ArcelorMittal Resende steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],Rio de Janeiro,Brazil,Central & South America,16,2009,668,operating,1000,-22.493597,-44.512628
P100000120034,ArcelorMittal Tubarão steel plant,ArcelorMittal Tubarão Comercial SA,E100001000507,ArcelorMittal Tubarão Comercial SA [100.0%],E100001000507 [100.0%],Espírito Santo,Brazil,Central & South America,42,1983,5000,operating,7500,-20.253447,-40.242298
P100000120046,AVB Açailândia steel plant,Aco Verde do Brasil SA,E100000130886,Grupo Ferroeste,E100001016289,Maranhão,Brazil,Central & South America,10,2015,3000,operating,600,-4.874373,-47.4073517
P100000120039,CSN Volta Redonda steel plant,Companhia Siderúrgica Nacional SA,E100001000652,Companhia Siderúrgica Nacional SA [100.0%],E100001000652 [100.0%],Rio de Janeiro,Brazil,Central & South America,79,1946,20000,operating,6251,-22.512631,-44.11287
P100000120033,Gerdau Açominas Ouro Branco steel plant,Gerdau Acominas SA,E100001010278,Gerdau SA [100.0%],E100001010270 [100.0%],Minas Gerais,Brazil,Central & South America,39,1986,8500,operating,4360,-20.543507,-43.75295
P100000120042,Gerdau Cosigua Santa Cruz steel plant,Gerdau Acos Longos SA,E100001010277,Gerdau SA [99.8%],E100001010270 [99.8%],Rio de Janeiro,Brazil,Central & South America,54,1971,1500,operating,936,-22.90242,-43.749319
P100000120047,Gerdau Divinópolis steel plant,Gerdau Acos Longos SA,E100001010277,Gerdau SA [99.8%],E100001010270 [99.8%],Minas Gerais,Brazil,Central & South America,72,1953,920,operating,600,-20.153931,-44.878995
P100000120055,Gerdau Pindamonhangaba steel plant,Gerdau SA,E100001010270,Gerdau SA [100.0%],E100001010270 [100.0%],São Paulo,Brazil,Central & South America,45,1980,2500,operating,530,-22.89918,-45.347726
P100000120048,Gerdau São Paulo Araçariguama steel plant,Gerdau Acos Longos SA,E100001010277,Gerdau SA [99.8%],E100001010270 [99.8%],São Paulo,Brazil,Central & South America,19,2006,370,operating,950,-23.43864,-47.08825
P100000120052,Simec Cariacica steel plant,GV do Brasil Industria e Comercio de Aço Ltda,E100000130990,Grupo Simec SAB de CV [100.0%],E100000130728 [100.0%],Espírito Santo,Brazil,Central & South America,83,1942,579,operating,600,-20.34291,-40.360864
