Plant ID,Workforce size,Nominal crude steel capacity (ttpa),ISO 14001,ISO 50001,ResponsibleSteel Certification,Year,Crude steel production (ttpa),Plant Age,Capacity per Worker (ttpa per worker),Certification score,Avg_Annual_Growth,Growth_Volatility,Asia Pacific,Central & South America,Eurasia,Europe,Middle East,North America
P100000120006,-0.4629529800130135,-0.3236783404592171,1,0,0,2019,-0.3484174010927399,0.6611524497993142,-0.14779726773661864,-0.3490719137044929,0.006994973635821008,0.4742621390839328,False,True,False,False,False,False
P100000120006,-0.4629529800130135,-0.3236783404592171,1,0,0,2020,-0.39774213927177166,0.6863010631942033,-0.14779726773661864,-0.3490719137044929,0.006994973635821008,0.4742621390839328,False,True,False,False,False,False
P100000120006,-0.4629529800130135,-0.3236783404592171,1,0,0,2021,-0.3234262004153638,0.7114496765890922,-0.14779726773661864,-0.3490719137044929,0.006994973635821008,0.4742621390839328,False,True,False,False,False,False
P100000120006,-0.4629529800130135,-0.3236783404592171,1,0,0,2022,-0.33625063234191205,0.7365982899839812,-0.14779726773661864,-0.3490719137044929,0.006994973635821008,0.4742621390839328,False,True,False,False,False,False
P100000120006,-0.4629529800130135,-0.3236783404592171,1,0,0,2023,-0.3484174010927399,0.7617469033788702,-0.14779726773661864,-0.3490719137044929,0.006994973635821008,0.4742621390839328,False,True,False,False,False,False
P100000120007,-0.19541802289632726,-0.40401733326310185,1,1,0,2019,-0.3849177073452234,0.30907186227086825,-0.31890559811564256,0.9364525377264761,-0.09318715740068372,0.05349326244215876,False,True,False,False,False,False
P100000120007,-0.19541802289632726,-0.40401733326310185,1,1,0,2020,-0.41517021342836286,0.33422047566575724,-0.31890559811564256,0.9364525377264761,-0.09318715740068372,0.05349326244215876,False,True,False,False,False,False
P100000120007,-0.19541802289632726,-0.40401733326310185,1,1,0,2021,-0.38573978631487393,0.35936908906064624,-0.31890559811564256,0.9364525377264761,-0.09318715740068372,0.05349326244215876,False,True,False,False,False,False
P100000120007,-0.19541802289632726,-0.40401733326310185,1,1,0,2022,-0.37768341241229875,0.38451770245553524,-0.31890559811564256,0.9364525377264761,-0.09318715740068372,0.05349326244215876,False,True,False,False,False,False
P100000120007,-0.19541802289632726,-0.40401733326310185,1,1,0,2023,-0.37965640193946,0.40966631585042423,-0.31890559811564256,0.9364525377264761,-0.09318715740068372,0.05349326244215876,False,True,False,False,False,False
P100000120008,-0.1405039812967737,0.10699604596446499,1,1,0,2019,-0.17380782793896746,0.30907186227086825,-0.19004807625879053,0.9364525377264761,-0.10173165732852416,0.054737814478746455,False,True,False,False,False,False
P100000120008,-0.1405039812967737,0.10699604596446499,1,1,0,2020,-0.24845259838323552,0.33422047566575724,-0.19004807625879053,0.9364525377264761,-0.10173165732852416,0.054737814478746455,False,True,False,False,False,False
P100000120008,-0.1405039812967737,0.10699604596446499,1,1,0,2021,-0.17610964905398893,0.35936908906064624,-0.19004807625879053,0.9364525377264761,-0.10173165732852416,0.054737814478746455,False,True,False,False,False,False
P100000120008,-0.1405039812967737,0.10699604596446499,1,1,0,2022,-0.15605092219451602,0.38451770245553524,-0.19004807625879053,0.9364525377264761,-0.10173165732852416,0.054737814478746455,False,True,False,False,False,False
P100000120008,-0.1405039812967737,0.10699604596446499,1,1,0,2023,-0.16328521712744068,0.40966631585042423,-0.19004807625879053,0.9364525377264761,-0.10173165732852416,0.054737814478746455,False,True,False,False,False,False
P100000120009,-0.6265225629981607,-0.7110270557636614,1,0,0,2019,-0.5018173368295287,-1.1243991012378047,-0.2534564628853225,-0.3490719137044929,1.0447981889392395,0.3776911050097173,False,True,False,False,False,False
P100000120009,-0.6265225629981607,-0.7110270557636614,1,0,0,2020,-0.4993510999205771,-1.0992504878429157,-0.2534564628853225,-0.3490719137044929,1.0447981889392395,0.3776911050097173,False,True,False,False,False,False
P100000120009,-0.6265225629981607,-0.7110270557636614,1,0,0,2021,-0.4932677155451632,-1.0741018744480266,-0.2534564628853225,-0.3490719137044929,1.0447981889392395,0.3776911050097173,False,True,False,False,False,False
P100000120009,-0.6265225629981607,-0.7110270557636614,1,0,0,2022,-0.468112099073857,-1.0489532610531376,-0.2534564628853225,-0.3490719137044929,1.0447981889392395,0.3776911050097173,False,True,False,False,False,False
P100000120009,-0.6265225629981607,-0.7110270557636614,1,0,0,2023,-0.47074275177673863,-1.0238046476582487,-0.2534564628853225,-0.3490719137044929,1.0447981889392395,0.3776911050097173,False,True,False,False,False,False
P100000120012,-0.19405005744722806,0.020631628700288902,0,0,1,2019,-0.033889987304447367,1.1138274909073163,-0.1907429476380374,-0.3490719137044929,-0.14211676775172677,-0.3335938694219313,True,False,False,False,False,False
P100000120012,-0.19405005744722806,0.020631628700288902,0,0,1,2020,-0.0015000759002165088,1.138976104302205,-0.1907429476380374,-0.3490719137044929,-0.14211676775172677,-0.3335938694219313,True,False,False,False,False,False
P100000120012,-0.19405005744722806,0.020631628700288902,0,0,1,2021,0.006227466414498467,1.1641247176970941,-0.1907429476380374,-0.3490719137044929,-0.14211676775172677,-0.3335938694219313,True,False,False,False,False,False
P100000120012,-0.19405005744722806,0.020631628700288902,0,0,1,2022,-2.0333754845556063e-05,1.1892733310919832,-0.1907429476380374,-0.3490719137044929,-0.14211676775172677,-0.3335938694219313,True,False,False,False,False,False
P100000120012,-0.19405005744722806,0.020631628700288902,0,0,1,2023,-0.007295732636252741,1.2144219444868722,-0.1907429476380374,-0.3490719137044929,-0.14211676775172677,-0.3335938694219313,True,False,False,False,False,False
P100000120014,-0.3320191441706616,-0.6737268091047149,1,0,0,2019,-0.41780086613124456,-0.4956837663655797,-0.3800330387051378,-0.3490719137044929,-0.21208499295174274,-0.33583154247537417,True,False,False,False,False,False
P100000120014,-0.3320191441706616,-0.6737268091047149,1,0,0,2020,-0.41780086613124456,-0.4705351529706907,-0.3800330387051378,-0.3490719137044929,-0.21208499295174274,-0.33583154247537417,True,False,False,False,False,False
P100000120014,-0.3320191441706616,-0.6737268091047149,1,0,0,2021,-0.4205959346280564,-0.4453865395758017,-0.3800330387051378,-0.3490719137044929,-0.21208499295174274,-0.33583154247537417,True,False,False,False,False,False
P100000120014,-0.3320191441706616,-0.6737268091047149,1,0,0,2022,-0.4150057976344328,-0.4202379261809127,-0.3800330387051378,-0.3490719137044929,-0.21208499295174274,-0.33583154247537417,True,False,False,False,False,False
P100000120014,-0.3320191441706616,-0.6737268091047149,1,0,0,2023,-0.41780086613124456,-0.3950893127860237,-0.3800330387051378,-0.3490719137044929,-0.21208499295174274,-0.33583154247537417,True,False,False,False,False,False
P100000120015,-0.3320191441706616,-0.6823345583337025,0,0,0,2019,-0.43128296123351323,-0.24419763241668974,-0.3834397152760943,-1.634596365135462,-0.21206591721966048,-0.3354928962407954,True,False,False,False,False,False
P100000120015,-0.3320191441706616,-0.6823345583337025,0,0,0,2020,-0.43128296123351323,-0.21904901902180074,-0.3834397152760943,-1.634596365135462,-0.21206591721966048,-0.3354928962407954,True,False,False,False,False,False
P100000120015,-0.3320191441706616,-0.6823345583337025,0,0,0,2021,-0.4337491981424648,-0.19390040562691174,-0.3834397152760943,-1.634596365135462,-0.21206591721966048,-0.3354928962407954,True,False,False,False,False,False
P100000120015,-0.3320191441706616,-0.6823345583337025,0,0,0,2022,-0.42881672432456164,-0.16875179223202275,-0.3834397152760943,-1.634596365135462,-0.21206591721966048,-0.3354928962407954,True,False,False,False,False,False
P100000120015,-0.3320191441706616,-0.6823345583337025,0,0,0,2023,-0.43128296123351323,-0.14360317883713375,-0.3834397152760943,-1.634596365135462,-0.21206591721966048,-0.3354928962407954,True,False,False,False,False,False
P100000120016,-0.4588490836657159,-0.6679883096187231,0,0,0,2019,-0.4804980888832583,-0.7220212869195807,-0.3419210602892298,-1.634596365135462,-0.10469227635678503,0.162721673254273,False,False,True,False,False,False
P100000120016,-0.4588490836657159,-0.6679883096187231,0,0,0,2020,-0.4894861522847707,-0.6968726735246917,-0.3419210602892298,-1.634596365135462,-0.10469227635678503,0.162721673254273,False,False,True,False,False,False
P100000120016,-0.4588490836657159,-0.6679883096187231,0,0,0,2021,-0.48225185735184606,-0.6717240601298027,-0.3419210602892298,-1.634596365135462,-0.10469227635678503,0.162721673254273,False,False,True,False,False,False
P100000120016,-0.4588490836657159,-0.6679883096187231,0,0,0,2022,-0.46975625701315804,-0.6465754467349137,-0.3419210602892298,-1.634596365135462,-0.10469227635678503,0.162721673254273,False,False,True,False,False,False
P100000120016,-0.4588490836657159,-0.6679883096187231,0,0,0,2023,-0.4804980888832583,-0.6214268333400247,-0.3419210602892298,-1.634596365135462,-0.10469227635678503,0.162721673254273,False,False,True,False,False,False
P100000120017,-0.35038896591570795,-0.34089383891719244,1,0,0,2019,-0.39774213927177166,2.01917757312332,-0.23889546069664552,-0.3490719137044929,-0.5464761219006048,-0.08479956556661956,False,False,False,True,False,False
P100000120017,-0.35038896591570795,-0.34089383891719244,1,0,0,2020,-0.41418371866478226,2.044326186518209,-0.23889546069664552,-0.3490719137044929,-0.5464761219006048,-0.08479956556661956,False,False,False,True,False,False
P100000120017,-0.35038896591570795,-0.34089383891719244,1,0,0,2021,-0.39774213927177166,2.069474799913098,-0.23889546069664552,-0.3490719137044929,-0.5464761219006048,-0.08479956556661956,False,False,False,True,False,False
