name,logo,logo_size,image,image_size,image_caption,former_name,type,traded_as,ISIN,industry,foundation,founders,location_city,location_country,area_served,key_people,revenue,operating_income,net_income,assets,equity,num_employees,website,founder,products,num_employees_year,divisions,founded,hq_location_city,hq_location_country,locations,hq_location,location,logo_caption,alt,subsid,predecessor,num_locations,image_upright,trading_name,services,revenue_year,income_year,net_income_year,assets_year,equity_year,footnotes,logo_alt,image_alt,trade_name,brands,native_name_lang,predecessors,owner,module,homepage,parent,aum,former_names,logo_upright,production,num_locations_year
Amcor plc,Amcor logo.png,175px,,,,,[[Public company|Public]],{{ubl|NYSE|AMCR|[[S&P 500]] component|ASX|AMC}} {{NYSE|AMCR}} {{ASX|AMC}},{{ISIN|sl|=|n|pl|=|y|JE00BJ1F3079}},[[Packaging]],,,,,,Peter Konieczny ([[Chief Executive Officer|CEO]]),{{increase}} {{US$|15.0&nbsp;billion|link|=|yes}} (2025),{{decrease}} {{US$|1.01&nbsp;billion}} (2025),{{decrease}} {{US$|511&nbsp;million}} (2025),{{increase}} {{US$|37.1&nbsp;billion}} (2025),{{increase}} {{US$|11.7&nbsp;billion}} (2025),"77,000 (2025)",{{URL|amcor.com}},Samuel Ramsden,[[Packaging]],,,"{{Start date and age|1896}} in [[Melbourne]], Australia",,,,"[[Zürich]], Switzerland",,,,,,,,,,,,,,,Financials {{asof|2025|06|30|lc|=|y}} .,,,,,,,,,,,,,,,
Ameren Corporation,Ameren logo.svg,200px,,,,,[[Public company|Public]],{{ubl|NYSE|AEE|[[S&P 500]] component}} {{NYSE|AEE}},,[[Utilities]],,,,,,"{{ubl
|Martin J. Lyons, Jr. ([[chairman]], [[President (corporate title)|president]] & [[Chief executive officer|CEO]])
|Mark C. Birk (Ameren Missouri [[chairman]] & [[President (corporate title)|president]])
|Leonard ""Lenny"" Singh (Ameren Illinois [[chairman]] & [[President (corporate title)|president]])
|Michael L. Moehn (Ameren Services [[chairman]] & [[President (corporate title)|president]])
|Shawn E. Schukar (Ameren Transmission [[chairman]] & [[President (corporate title)|president]])}}",{{decrease}} [[US$]]5.794 Billion (''Fiscal Year Ended 31 December 2020''),{{increase}} [[US$]]1.300 Billion (''Fiscal Year Ended 31 December 2020''),{{increase}} [[US$]]0.871 Billion (''Fiscal Year Ended 31 December 2020''),{{increase}} [[US$]]32.030 Billion (''Fiscal Year Ended 31 December 2020''),{{increase}} [[US$]]9.080 Billion (''Fiscal Year Ended 31 December 2020''),"9,116",{{URL|ameren.com}},,"[[Electricity]] <small>(16,900 [[Megawatts#Megawatt|megawatts]])</small> and [[Natural Gas]]","December 31, 2021",,{{Start date and age|1997}},,,,"[[St. Louis, Missouri]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"American Electric Power Company, Inc.",AEP-Logo-Red-Gray.svg,,AEP Building 1.jpg,,"[[AEP Building]], the company's headquarters in [[Columbus, Ohio]]",,[[Public company|Public]],{{ubl|NASDAQ|AEP|[[DJUA]] component|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|AEP}},,[[Electric Utility|Electric utilities]],{{start date and age|1906}},,,,"{{bulleted list|'''AEP Ohio''': [[Ohio]]|'''AEP Texas''': [[Texas]]|'''Appalachian Power''': [[Tennessee]], [[Virginia]], [[West Virginia]]|'''Indiana Michigan Power''': [[Indiana]], [[Michigan]]|'''Kentucky Power''': [[Kentucky]]|'''PSO''': [[Oklahoma]]|'''SWEPCO''': [[Arkansas]], [[Louisiana]], [[Texas]]}}","Bill Fehrman ([[chairman]], [[President (corporate title)|president]] & [[Chief executive officer|CEO]])",{{increase}} {{US$|19.72 billion|link|=|yes}} (2024),{{increase}} {{US$|4.304 billion}} (2024),{{increase}} {{US$|2.967 billion}} (2024),{{increase}} {{US$|103.1 billion}} (2024),{{increase}} {{US$|26.94 billion}} (2024),"16,330",{{Official URL}},,{{ubl|[[Electric power generation|Electricity generation]]|[[Electric power transmission]]|[[Electricity distribution]]}},2024,,,,,,,"[[AEP Building]], [[Columbus, Ohio]], U.S.",,,,"Originally American Gas and Electric Company (AG&E), formed in 1906 from Electric Company of America.  Became American Electric Power in 1958; merged with Central and Southwest Corporation in 2000.",,,,,,,,,,,,,,,,,,,,,,,,,
American Express Company,American Express logo (2018).svg,150px,3 World Financial Center.jpg,150px,Headquarters at the [[American Express Tower]],,[[Public company|Public]],{{unbulleted list|NYSE|AXP|[[DJIA]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NYSE|AXP}},,Financial Services,"{{Start date and age|1850|3|18}} , in [[Buffalo, New York]], U.S.",,,,Worldwide,{{unbulleted list |[[Stephen Squeri]] |nowrap|([[Chairman#Public corporations|chairman]] & [[Chief executive officer|CEO]])| | Christophe Le Caillec ([[Chief financial officer|CFO]])}} {{nowrap|([[Chairman#Public corporations|chairman]] & [[Chief executive officer|CEO]])}},{{increase}} {{US$|65.95 billion|link|=|yes}} (2024),{{increase}} {{US$|12.89 billion}} (2024),{{increase}} {{US$|10.13 billion}} (2024),{{increase}} {{US$|271.5 billion}} (2024),{{increase}} {{US$|30.26 billion}} (2024),"75,100 (2024)",,,{{unbulleted list|[[Charge card]]s|[[Credit card]]s|[[Debit card]]s|[[Traveler's cheque]]s|[[Corporate banking]]}},,,,{{nowrap|[[New York City]]}},U.S.,,[[200 Vesey Street]],,,,"{{unbulleted list|[[American Express Global Business Travel]] (33.54%)|ref|{{Cite web|url=https://uk.marketscreener.com/quote/stock/GLOBAL-BUSINESS-TRAVEL-GR-138707030/company/|title=Global Business Travel Group, Inc.: Shareholders Board Members Managers and Company Profile &#124; US37890B1008 &#124; MarketScreener UK|website=uk.marketscreener.com}}|</ref>|[[Resy]]|American Express National Bank|American Express Ventures|American Express International, Inc.|American Express Centurion Bank|American Express Bank, FSB|American Express Credit Corporation|American Express Travel Related Services Company, Inc.}}","{{bulleted list|class|=|nowrap|Livingston, Fargo & Company|Wells, Butterfield & Company|Wells & Company}}",,,,{{unbulleted list|[[Payment card industry|Payment card services]]|[[Insurance]]|[[Travel]]}},,,,,,,,,,,,,,,{{URL|https://americanexpress.com/}},,,,,,
"American International Group, Inc.",AIG new logo.svg,250px,Time-life building.jpg,250px,"AIG headquarters, [[1271 Avenue of the Americas]], New York",,[[Public company|Public]],{{ubl|NYSE|AIG|[[S&P 100]] component|[[S&P 500]] component}} {{NYSE|AIG}},,[[Financial services]],"{{start date and age|1919|12|19}} in [[Shanghai]], [[Republic of China (1912–1949)|China]]",,,,Worldwide,[[Peter Zaffino]] ([[chairman and CEO]]),"{{decrease}} US$27,250,000,000 (2024)",{{increase}} US$3.87 billion (2024),{{decrease}} &minus;US$1.43 billion (2024),{{nowrap|decrease| US$161.3 billion (2024)}} {{decrease}} US$161.3 billion (2024),{{increase}} US$45.52 billion (2024),"{{circa|22,000}} (2024)",{{URL|https://aig.com/}},[[Cornelius Vander Starr]],{{ubl|[[General insurance]] |[[Health insurance]] |[[Vehicle insurance]] |[[Travel insurance]] |[[Home insurance]] |[[Life insurance]] |[[Mortgage loan]]s |[[Investment management]] |[[Mutual fund]]}},,,,"[[New York City, New York]]",U.S.,,{{nowrap|[[1271 Avenue of the Americas]]}},,,,[[TATA AIG]],,,,,,,,,,,,,,,,,,,,,,,,,,
American Tower Corporation,American Tower Corporation logo.svg,,,,,,[[Public company|Public]],{{ubl|NYSE|AMT|[[S&P 100]] component|[[S&P 500]] component}} {{NYSE|AMT}},,{{ubl|[[Real estate investment trust]]|Communication services}},,,,,,Steven Vondran ([[President (corporate title)|President]] and [[CEO]]),{{increase}} {{US$|10.1&nbsp;billion|link|=|yes}} (2024),{{increase}} US$4.52&nbsp;billion (2024),{{increase}} US$2.26&nbsp;billion (2024),{{decrease}} US$61.1&nbsp;billion (2024),{{decrease}} US$9.65&nbsp;billion (2024),"4,691 (2024)",{{URL|americantower.com}},,,,,{{start date and age|1995}},"[[Boston]], Massachusetts",[[United States]],,,,,,[[CoreSite]],,,,,,,,,,,,,,,,,,,,,,,,,,
"American Water Works Company, Inc.",American Water (company) Logo.svg,,American Water (53572825134).jpg,,"Headquarters in [[Camden, New Jersey]]",,[[Public company|Public]],{{ubl|NYSE|AWK|[[DJUA]] component|[[S&P 500]] component}} {{NYSE|AWK}},,[[Utilities]]<br/>Water and wastewater,,{{ubl|James S. Kuhn|W.S. Kuhn}},,,,"John C. Griffith, President and Chief Executive Officer <br/>Cheryl Norton, EVP and Chief Operating Officer<br/>David Bowler, EVP and Chief Financial Officer <br/>
Stacy Mitchell, EVP and General Counsel<br/>Nicholas Furia, VP and Treasurer<br/>Karl F. Kurz, Board member<br/>Jeffrey Edwards, Director<br/>Kimberly J. Harris, Director<br/>Laurie P. Havanec, Director<br/>Julia L. Johnson, Director<br/>Patricia L. Kampling, Director<br/>Michael L. Marberry, Director<br/>Stuart M. McGuigan, Director <br/>Lori Sutton, CHRO",{{up}} {{US$|4.68 billion|link|=|yes}} <small>(2024)</small>,{{up}} US$1.72 billion <small>(2024)</small>,{{up}} US$1.05 billion <small>(2024)</small>,{{up}} US$32.83 billion <small>(2024)</small>,{{up}} US$10.33 billion <small>(2024)</small>,"6,700",[http://www.amwater.com/ American Water Corporate],,[[Water]],,California American Water<br>Hawaii American Water<br>Illinois American Water<br>Indiana American Water<br>Iowa American Water<br>Kentucky American Water<br>Maryland American Water<br>Missouri American Water<br>New Jersey American Water<br>Pennsylvania American Water<br>Tennessee American Water<br>Virginia American Water<br>West Virginia American Water<br> American Water Military Services Group,{{Start date and age|1886}},"Camden, New Jersey",U.S.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ameriprise Financial, Inc.",Ameriprise Financial logo.svg,,Ameriprise Financial Center Minneapolis 1.jpg,200px,Headquarters at [[Ameriprise Financial Center]],,[[Public company|Public]],{{ubl|NYSE|AMP|[[S&P 500]] component}} {{NYSE|AMP}},,[[Financial services]],,[[John Elliott Tappan|John Tappan]] and J.R. Ridgway,,,Worldwide,[[James M. Cracchiolo]] ([[Chairman#Public corporations|chairman]] & [[Chief executive officer|CEO]])<BR>Walter S. Berman ([[Chief financial officer|CFO]])<BR>[[Jeff Noddle]] (director)<BR>[[Lon R. Greenberg]] (director),{{increase}} {{US$|17.26&nbsp;billion|link|=|yes}} (2024),{{increase}} {{US$|5.258&nbsp;billion}} (2024),{{increase}} {{US$|3.401&nbsp;billion}} (2024),{{increase}} {{US$|181.4&nbsp;billion}} (2024),{{increase}} {{US$|5.228&nbsp;billion}} (2024),"13,600 (2024)",,,[[Investments]],,,{{Start date and age|1894}},"[[Minneapolis, Minnesota]]",U.S.,,[[Ameriprise Financial Center]],,,,{{ubl|[[Columbia Threadneedle Investments]]|[[RiverSource Life Insurance Company]]}},,,,,"{{flatlist|
* [[Wealth management]]
* [[Asset management]]
* [[Brokerage firm]]
* [[Insurance]]
* [[Financial planner]]}}",,,,,,,,,,,,,,,{{URL|https://ameriprise.com}},,{{increase}} {{US$|1.171&nbsp;trillion}} (2024),,,,
"AMETEK, Inc.",Ametek Logo.svg,,,,,,[[Public company|Public]],{{ubl|NYSE|AME|[[S&P 500]] component}} {{NYSE|AME}},,[[Conglomerate (company)|Conglomerate]],,,,,[[World]]wide,{{nowrap|David A. Zapico}} <br />([[Chairman and CEO]]),{{nowrap|increase| |US$|6.94&nbsp;billion|link|=|yes| (2024)}} {{increase}} {{US$|6.94&nbsp;billion|link|=|yes}} (2024),{{nowrap|increase| US$1.78&nbsp;billion (2024)}} {{increase}} US$1.78&nbsp;billion (2024),{{nowrap|increase| US$1.38&nbsp;billion (2024)}} {{increase}} US$1.38&nbsp;billion (2024),{{nowrap|decrease| US$14.6&nbsp;billion (2024)}} {{decrease}} US$14.6&nbsp;billion (2024),{{nowrap|increase| US$9.66&nbsp;billion (2024)}} {{increase}} US$9.66&nbsp;billion (2024),"21,500",{{URL|ametek.com}},,{{nowrap|[[Electronic instruments]]}} <br> {{nowrap|[[Electromechanical]] devices}},2024,,{{Start date and age|1930}} (as American Machine and Metals),,,,"[[Berwyn, Pennsylvania]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amgen Inc.,Amgen.svg,250px,Amgenheadquarters.jpg,250px,"Headquarters in Thousand Oaks, California",,[[Public company|Public]],{{unbulleted list|NASDAQ|AMGN|[[Nasdaq-100]] component|[[DJIA]] component|[[S&P 100]] component|[[S&P 500]] component}} {{NASDAQ|AMGN}},{{ISIN|sl|=|n|pl|=|y|US0311621009}},[[Biotechnology]],{{start date and age|1980|4|8}},,,,,"{{unbulleted list|[[Robert A. Bradway]] ([[chairman]], [[President (corporate title)|president]] & [[Chief executive officer|CEO]])|[[Howard Y. Chang]] ([[chief scientific officer|CSO]])}}",{{increase}} {{US$|33.4 billion|link|=|yes}} (2024),{{decrease}} {{US$|7.26 billion}} (2024),{{decrease}} {{US$|4.09 billion}} (2024),{{decrease}} {{US$|91.8 billion}} (2024),{{decrease}} {{US$|5.88 billion}} (2024),"28,000 (2024)",{{URL|https://amgen.com/}},,{{hlist|[[Aimovig]]|[[Aranesp]]|[[Blincyto]]|[[Epogen]]|[[Anakinra|Kineret]]|[[Enbrel]]|[[Kyprolis]]|[[Neulasta]]|[[Neupogen]]|[[Nplate]]|[[Parsabiv]]|[[Prolia]]|[[Repatha]]|[[Sensipar]]/[[Mimpara]]|[[Vectibix]]|[[Xgeva]]}},,,,,,,,"{{nowrap|[[Thousand Oaks, California]], U.S.}}",,,,,,,,,,,,,,,,,,,,,,,,,,Applied Molecular Genetics (1980–1983),,,
Amphenol Corporation,Logo Amphenol.svg,,,,,,[[Public company|Public]],{{Unbulleted list|NYSE|APH| (Class A)|[[S&P 500]] component}} {{NYSE|APH}} (Class A),,[[Electronics]],,,,,,"R. Adam Norwitt,<br/>President and CEO",{{nowrap| |increase| |US$|15.2 billion|link|=|yes| (2024)}} {{increase}} {{US$|15.2 billion|link|=|yes}} (2024),{{nowrap| |increase| |US$|3.16 billion| (2024)}} {{increase}} {{US$|3.16 billion}} (2024),{{nowrap| |increase| |US$|2.42 billion| (2024)}} {{increase}} {{US$|2.42 billion}} (2024),{{nowrap| |increase| |US$|21.4 billion| (2024)}} {{increase}} {{US$|21.4 billion}} (2024),{{nowrap| |increase| |US$|9.79 billion| (2024)}} {{increase}} {{US$|9.79 billion}} (2024),"{{circa|125,000}} (2024)",{{URL|https://amphenol.com/}},[[Arthur J. Schmitt]],"{{ubl
|[[Coaxial cable]]s
|[[Optical fiber connector|Connectors]]}}",,,{{Start date and age|1932}},"[[Wallingford, Connecticut|Wallingford]], [[Connecticut]]",United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,
"Analog Devices, Inc.",Analog Devices Logo.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|ADI|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ADI}},,[[Semiconductors]],,{{ubl|[[Ray Stata]]|[[Matthew Lorber]]}},,,,Vincent Roche ([[chairman]] and [[Chief executive officer|CEO]]),{{increase}} {{US$|11.02&nbsp;billion|link|=|yes}} (2025),{{increase}} {{US$|2.932&nbsp;billion}} (2025),{{increase}} {{US$|2.267&nbsp;billion}} (2025),{{decrease}} {{US$|47.99&nbsp;billion}} (2025),{{decrease}} {{US$|33.82&nbsp;billion}} (2025),"24,500 (2025)",{{URL|https://www.analog.com/|analog.com}},,Semiconductors,,,"{{Start date and age|1965}} in [[Cambridge, Massachusetts]], U.S.",,,,,"{{nowrap|[[Wilmington, Massachusetts]], U.S.}}",,,,,,,,,,,,,,Financials {{as of|2025|11|01|lc|=|y|df|=|US}} .,,,,,,,,,,,,,1.1,,
Aon plc,Aon Corporation logo.svg,,122 Leadenhall Street - geograph-3968154-by-Julian-Osley.jpg,,"Headquarters at [[122 Leadenhall Street]], London",,[[Public company|Public]],{{ubl|NYSE|AON| (Class A)|[[S&P 500]] component}} {{NYSE|AON}} (Class A),,[[Financial services]],,,,,Worldwide,{{unbulleted list|Lester Knight ([[chairman]])|Eric Andersen ([[President (corporate title)|president]])|[[Gregory C. Case|Greg Case]] ([[chief executive officer|CEO]])}},{{nowrap|increase| |US$|15.70 billion|link|=|yes| (2024)}} {{increase}} {{US$|15.70 billion|link|=|yes}} (2024),{{increase}} US$3.835 billion (2024),{{increase}} US$2.654 billion (2024),{{increase}} US$48.96 billion (2024),{{increase}} US$6.121 billion (2024),"{{circa|66,000}} (2024)",{{Official URL}},[[Pat Ryan (executive)|Patrick Ryan]],,,,{{Start date and age|1982}},,,,,"[[122 Leadenhall Street]], [[London]], United Kingdom",,,,,,,,{{unbulleted list|Risk consulting|Retirement consulting|Health consulting}},,,,,,,,,,,,,,,,,,,,,
APA Corporation,ApacheLogo.svg,,PostOakCentralMarsh.JPG,,"The headquarters of the company in [[Post Oak Central]], [[Houston, Texas]].",,[[Public company|Public]],{{ubl|NASDAQ|APA|[[S&P 500]] component}} {{NASDAQ|APA}},{{ISIN|sl|=|n|pl|=|y|US03743Q1085}},[[Petroleum industry]],,{{ubl|Truman Anderson|Charles Arnao|[[Raymond Plank]]}},,,,John J. Christmann IV ([[Chief executive officer|CEO]]),{{increase}} {{US$|9.74&nbsp;billion|link|=|yes}} (2024),{{decrease}} US$1.90&nbsp;billion (2024),{{decrease}} US$804&nbsp;million (2024),{{increase}} US$19.4&nbsp;billion (2024),{{increase}} US$5.28&nbsp;billion (2024),"2,305 (2024)",{{URL|https://apacorp.com}},,{{ubl|[[Petroleum]]|[[Natural gas]]}},,,{{Start date and age|1954|12|6}},,,,"[[Post Oak Central]]<br />[[Houston, Texas]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,{{convert|454.7|e3BOE|lk|=|in}} per day (2024),
"Apollo Global Management, Inc.",Apollo Global Management logo.svg,,Solow Building (53872707559).jpg,,Headquarters at the [[Solow Building]] in New York City,,[[Public company|Public]],{{ubl|NYSE|APO|[[S&P 500]] component}} {{NYSE|APO}},,[[Asset management]],,{{ubl|[[Leon Black]]|[[Josh Harris (businessman)|Josh Harris]]|[[Marc Rowan]]|[[Tony Ressler]]}},,,,Marc Rowan<br> {{small|(Chairman and CEO)}} <br>Jim Zelter<br> {{small|(President)}} <br>Scott Kleinman<br> {{small|(Co-President)}} <br>John Zito<br> {{small|(Co-President)}},{{decrease}} {{US$|26.11&nbsp;billion|link|=|yes}},{{increase}} US$7.435&nbsp;billion,{{decrease}} US$6.373&nbsp;billion,{{increase}} US$377.9&nbsp;billion,{{increase}} US$30.96&nbsp;billion,"5,108",{{URL|apollo.com}},,"[[Private equity fund]]s, credit funds, [[real estate]] funds, [[alternative investment]], [[leveraged buyout]]s, [[growth capital]], [[venture capital]]",2024,,{{Start date and age|1990}},"[[New York, New York]]",U.S.,,[[Solow Building]],,,,,,,,,,2024,2024,2024,2024,2024,,,,,,,,,,,,{{increase}} US$840&nbsp;billion (2025),,,,
Apple Inc.,{{dark mode switch|[[File:Apple logo white.svg|frameless|upright=0.45|class=logo-nobg]]|[[File:Apple logo black.svg|frameless|upright=0.45|class=logo-nobg]]|logo}},,Aerial view of Apple Park dllu.jpg,,"Aerial view of [[Apple Park]], the company's headquarters, in [[Cupertino, California]]","{{Unbulleted list | Apple Computer Company (1976–1977) | Apple Computer, Inc. (1977–2007)}}",[[Public company|Public]],{{Unbulleted list | |NASDAQ|AAPL| | [[Nasdaq-100]] component | [[DJIA]] component | [[S&P 100]] component | [[S&P 500]] component}} {{NASDAQ|AAPL}},{{ISIN|sl|=|n|pl|=|y|US0378331005}},{{Unbulleted list | Consumer electronics | Software services | Online services}},,{{Unbulleted list | [[Steve Jobs]] | [[Steve Wozniak]] | [[Ronald Wayne]]}},,,Worldwide,"{{Unbulleted list
 | [[Tim Cook]] ([[CEO]])
 | [[Arthur Levinson]] ([[chairman]])}}",{{increase}} {{US dollar|416&nbsp;billion}},{{increase}} {{US dollar|133&nbsp;billion}},{{increase}} {{US dollar|112&nbsp;billion}},{{decrease}} {{US dollar|359&nbsp;billion}},{{increase}} {{US dollar|74&nbsp;billion}},"166,000",{{URL|https://www.apple.com/|apple.com}},,"{{flatlist|
* [[AirPods]]
* [[AirTag]]
* [[Apple TV (device)|Apple TV]]
* [[Apple Vision Pro]]
* [[Apple Watch]]
* [[HomePod]]
* [[iPad]]
* [[iPhone]]
* [[Mac (computer)|Mac]]}}",2025,,"{{Start date and age|1976|04|01|p|=|yes}} , in [[Los Altos, California]], US","Cupertino, California",US,,Apple Park,,Variant of the [[Apple logo]] used since 1977,,"{{Unbulleted list | Apple Financing|ref| name=""b350""|{{cite press release | title=Apple introduces Apple Pay Later | website=Apple Newsroom | date=March 28, 2023 | url=https://www.apple.com/newsroom/2023/03/apple-introduces-apple-pay-later/ | access-date=August 21, 2025}}|</ref>| | [[Apple Studios]] | [[Beats Electronics]] | [[Beddit]] | [[Braeburn Capital]] | [[Claris]] | [[Globalstar]] (20%)}}",,537 [[Apple Store]]s,1.1,,"{{flatlist|
* [[App Store (Apple)|App Store]]
* [[Apple Arcade]]
* [[Apple Card]]
* [[Apple Music]]
* [[Apple Pay]]
* [[Apple TV (streaming service)|Apple TV]]
* [[CarPlay]]
* [[iCloud]]
* [[Pixelmator]]
* [[Shazam (music app)|Shazam]]}}",2025,2025,2025,2025,2025,Financials {{as of|2025|9|27|df|=|US|pre|=|fiscal year ended|lc|=|y}} .<br />References:,,,,,,,,{{infobox network service provider|child|=|yes|asn|=|714}},,,,,,,2025
"Applied Materials, Inc.",Applied Materials Inc. Logo.svg,,,,,,[[Public company|Public]],{{ubl|NASDAQ|AMAT|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|AMAT}},,[[Semiconductor]]s,,,,,Worldwide,{{ubl|[[Gary E. Dickerson]] ([[President (corporate title)|President]] & [[Chief Executive Officer|CEO]])|Thomas J. Iannotti ([[Chairman]])}},{{increase}} {{US$|27.18 billion|link|=|yes}} (2024),{{increase}} {{US$|7.867 billion}} (2024),{{increase}} {{US$|7.177 billion}} (2024),{{increase}} {{US$|34.41 billion}} (2024),{{increase}} {{US$|19.00 billion}} (2024),"35,700 (2024)",{{URL|https://www.appliedmaterials.com/|appliedmaterials.com}},Michael A. McNeilly,,,,{{Start date and age|1967|11|10}},,,,"{{nowrap|[[Santa Clara, California]], U.S.}}",,,,,,,,,,,,,,,Financials {{as of |2024|10|27|lc|=|y|df|=|US}} .,,,,,,,,,,,,,1.2,,
