name,logo,logo_size,image,image_size,image_caption,former_name,type,traded_as,ISIN,industry,foundation,founders,location_city,location_country,area_served,key_people,revenue,operating_income,net_income,assets,equity,num_employees,website,founder,products,num_employees_year,divisions,founded,hq_location_city,hq_location_country,locations,hq_location,location,logo_caption,alt,subsid,predecessor,num_locations,image_upright,trading_name,services,revenue_year,income_year,net_income_year,assets_year,equity_year,footnotes,logo_alt,image_alt,trade_name,brands,native_name_lang,predecessors,owner,module,homepage,parent,aum,former_names,logo_upright,production,num_locations_year
"Airbnb, Inc.",Airbnb Logo Bélo.svg,250px,"888 Brannan, San Francisco, 2016.jpg",250px,Headquarters at 888 Brannan Street,,[[Public company|Public]],{{ubl|NASDAQ|ABNB| (Class A)|[[Nasdaq-100]] component|[[S&P 500]] component}} {{NASDAQ|ABNB}} (Class A),,[[Lodging]],,{{ubl|[[Brian Chesky]]|[[Joe Gebbia]]|[[Nathan Blecharczyk]]}},,,Worldwide,{{Unbulleted list|Brian Chesky ([[Chief executive officer|CEO]])|Nathan Blecharczyk ([[Chief strategy officer|CSO]])}},{{increase}} {{US$|11.1 billion|link|=|yes}} (2024),{{increase}} {{US$|2.55 billion}} (2024),{{decrease}} {{US$|2.65 billion}} (2024),{{increase}} US$20.9 billion (2024),{{increase}} US$8.41 billion (2024),"7,300 (2024)",{{URL|https://www.airbnb.com/|airbnb.com}},,,,,"{{Start date and age|2008|08}} in [[San Francisco, California]], U.S.",,,,,"{{nowrap|[[San Francisco, California]], U.S.}}",,,"{{Plain list|
* Luxury Retreats International Inc.
* [[Tilt.com]] 
* [[Accomable]]
* Aibiying
* Trooly, Inc.
* Deco Software Inc.
* Trip4real Experiences, S.L.
* Larson8, Inc.
* MarketLog, Randorphire Inc.
* [[HotelTonight]]}}",,,,,{{ubl|[[Lodging]]|[[Hospitality]]|[[Homestay]]}},,,,,,,Airbnb logo,,,,,,{{ubl|Brian Chesky (10%)|Nathan Blecharczyk (10%)|Joe Gebbia (7%)}},,,,,,,,
"Air Products and Chemicals, Inc.",Logo Air Products.svg,,,,,,[[Public company|Public]],{{ubl|NYSE|APD|[[S&P 500]] component}} {{NYSE|APD}},,"[[Industrial gas]], [[chemicals]]",,,,,Worldwide,{{ubl | [[Wayne T. Smith]] ([[chairman]]) | Eduardo F. Menezes ([[Chief executive officer|CEO]])}},{{decrease}} {{US$|12.04&nbsp;billion|link|=|yes}} (2025),{{nowrap| |decrease| |US$|-877&nbsp;million| (2025)}} {{decrease}} {{US$|-877&nbsp;million}} (2025),{{nowrap| |decrease| |US$|-395&nbsp;million| (2025)}} {{decrease}} {{US$|-395&nbsp;million}} (2025),{{increase}} {{US$|41.06&nbsp;billion}} (2025),{{decrease}} {{US$|15.02&nbsp;billion}} (2025),"{{circa|21,300}} (2025)",{{URL|airproducts.com}},Leonard P. Pool,,,,"{{start date and age|1940}} in [[Detroit, Michigan]], U.S.",,,,,"[[Allentown, Pennsylvania]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Akamai Technologies, Inc.",Akamai logo.svg,200px,"Akamai's headquarters in Cambridge, Massachusetts.jpg",250px,"Headquarters in Cambridge, Massachusetts",,[[Public company|Public]],{{ubl|NASDAQ|AKAM|[[S&P 500]] component}} {{NASDAQ|AKAM}},,{{ubl|[[Internet]]|[[Cloud computing]]}},,{{ubl |[[Daniel Lewin]] |[[F. Thomson Leighton]] |[[Randall Kaplan]] |[[Preetish Nijhawan]] |Jonathan Seelig}},,,,"{{ubl|[[F. Thomson Leighton]] ([[Chief financial officer|CEO]]) |[[Daniel Hesse]] ([[chairman]])|ref| name=""Board of Director""|{{Cite web |title=Akamai Announces Board Of Directors Changes |url=https://www.akamai.com/newsroom/press-release/akamai-announces-board-of-directors-changes1| publisher  = Akamai Technologies, Inc. |date=March 18, 2021}}|</ref>}}",{{increase}} {{US$|3.99&nbsp;billion|link|=|yes}} (2024),{{decrease}} US$533&nbsp;million (2024),{{decrease}} US$505&nbsp;million (2024),{{increase}} US$10.4&nbsp;billion (2024),{{increase}} US$4.88&nbsp;billion (2024),"10,748 (2024)",{{URL|akamai.com}},,,,,{{Start date and age|1998}},,,,"{{nowrap|[[Cambridge, Massachusetts]], U.S.}}",,,,,,,,,,,,,,,,,,,,,,,{{infobox network service provider|child|=|yes|asn|=|20940}},,,,,,,
Albemarle Corporation,Albermarle Corporation.svg,280px,,,,,[[Public company|Public]],{{Unbulleted list|NYSE|ALB|[[S&P 500]] component}} {{NYSE|ALB}},,[[Chemical industry]],{{start date and age|1994}},,"[[Charlotte, North Carolina]]",U.S.,Worldwide,"Kent Masters ([[chairman]], [[President (corporate title)|president]] & [[Chief Executive Officer|CEO]])<br />Scott A. Tozier ([[Chief executive officer|CFO]])",{{decrease}} {{US$|5.38 billion|link|=|yes}} (2024),{{decrease}} &minus;US$1.8 billion (2024),{{decrease}} &minus;US$1.2 billion (2024),{{decrease}} US$16.6 billion (2024),{{increase}} US$9.96 billion (2024),"8,300 (2024)",{{URL|albemarle.com}},,"[[Lithium]] salts and metals<br />[[Bromine]] and derivatives, including [[flame retardants]]<br />[[Fluid catalytic cracking]] and HPC catalysts<br />[[Fine chemical|fine chemistry]] services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alexandria Real Estate Equities, Inc.",File:Alexandria Real Estate Equities logo.png,,,,,,[[Public company|Public]],{{New York Stock Exchange|ARE}} <BR>[[S&P 500]] component,,[[Real estate investment trust]],,,,,,Joel S. Marcus ([[chairman]])<BR>Marc E. Binda ([[Chief financial officer|CFO]]),{{increase}} $3.116 billion (2024),,{{increase}} $309 million (2024),{{increase}} $37.527 billion (2024),{{decrease}} $17.889 billion (2024),552 (2024),,Joel S. Marcus<br>Jerry M. Sudarsky,,,,{{Start date and age|1994|1}},,,,"[[Pasadena, California]], U.S.",,,,,,,,,,,,,,,,,,,,,,[[Norges Bank]] (The Central Bank of Norway)(9.54%),,{{URL|https://www.are.com/}},,,,,,
"Align Technology, Inc.",,,,,,,[[Public company|Public]],{{Unbulleted list|nasdaq|ALGN|[[S&P 500]] component}} {{nasdaq|ALGN}},{{ISIN|sl|=|n|pl|=|y|US0162551016}},[[Orthodontics]] devices,{{start date and age|1997}},{{ubl|[[Zia Chishti]]|Kelsey Wirth}},,,Worldwide,"Joe Hogan ([[President (corporate title)|president]] & [[Chief Executive Officer|CEO]])<br />Karim Boussebaa ([[Executive Vice President|EVP]] and [[Managing Director|MD]], iTero Scanner and Services Business) <br />John F. Morici ([[CFO]])<br />Mitra Derakhshan ([[Senior Vice President|SVP]], Global Clinical)",{{increase}} {{US$|4.00&nbsp;billion|link|=|yes}} (2024),{{increase}} {{US$|608&nbsp;million}} (2024),{{increase}} {{US$|421&nbsp;million}} (2024),{{increase}} {{US$|6.21&nbsp;billion}} (2024),{{increase}} {{US$|3.85&nbsp;billion}} (2024),{{formatnum:20945}},,,"[[Clear aligners]], intra-oral scanners, dental CAD SW",2024,,,,,,"[[Tempe, Arizona]], U.S.",,,,,,,,,,,,,,,,,,,,,,,,{{url|https://aligntech.com}},,,,,,
Allegion plc,File:Allegion_logo.svg,,,,,,[[Public company|Public]],{{ubl|NYSE|ALLE|[[S&P 500]] component}} {{NYSE|ALLE}},IE00BFRT3W74,"[[Security]], [[Access control]]",,,,,,{{ubl|Lauren Peters (chair)|John Stone (CEO)}},{{nowrap |increase| |US$|3.77 billion|link|=|yes}} {{increase}} {{US$|3.77 billion|link|=|yes}},{{increase}} {{US$|781 million}},{{increase}} {{US$|598 million}},{{increase}} {{US$|4.49 billion}},{{increase}} {{US$|1.50 billion}},"14,400",{{URL|allegion.com}},,,2024,,{{Start date and age|1908}},[[Dublin]],Ireland,,,,,,,,,,,,2024,2024,2024,2024,2024,,,,,,,,,,,,,,,,
Alliant Energy Corporation,Alliant Energy logo.svg,,AlliantEnergySheboyganWisconsinPowerPlant.jpg,,"Alliant's [[Edgewater Generating Station]], a coal power plant in [[Sheboygan, Wisconsin]].",Interstate Energy Corp.,[[Public company|Public]],{{ubl|NASDAQ|LNT|[[S&P 500]] component}} {{NASDAQ|LNT}},,[[Utilities]],,,,,,,"{{increase}} {{US$|3.669 billion|link|=|yes}} (''Fiscal Year Ended December 31, 2021'')","{{increase}} US$0.795 billion (''Fiscal Year Ended December 31, 2021'')","{{increase}} US$0.674 billion (''Fiscal Year Ended December 31, 2021'')","{{increase}} US$18.553 billion (''Fiscal Year Ended December 31, 2021'')","{{increase}} US$5.990 billion (''Fiscal Year Ended December 31, 2021'')","3,375",{{URL|alliantenergy.com}},,{{ubl|[[Electricity]]|[[Natural gas]]}},2021,,{{Start date and age|1917}},,,,"[[Madison, Wisconsin]], U.S.",,,,{{Ubl|Interstate Power & Light|Wisconsin Power & Light}},,,,,,,,,,,,,,,,,,,,,,,,,,
The Allstate Corporation,Allstate logo.svg,,,,,,[[Public company|Public]],{{ubl|NYSE|ALL|[[S&P 500]] component}} {{NYSE|ALL}},,[[Insurance]],,,,,,"[[Thomas J. Wilson]] ([[Chairman#Public corporations|chairman]], [[President (corporate title)|president]], and [[Chief Executive Officer|CEO]])",{{increase}} {{US$|64.11&nbsp;billion|link|=|yes}} (2024),{{increase}} {{US$|5.76&nbsp;billion}} (2024),{{increase}} {{US$|4.67&nbsp;million}} (2024),{{nowrap|increase| |US$|111.6&nbsp;billion| (2024)}} {{increase}} {{US$|111.6&nbsp;billion}} (2024),{{increase}} {{US$|21.44&nbsp;billion}} (2024),"{{circa|55,000}} (2024)",{{URL|https://www.allstate.com/}} <br /> {{URL|https://www.allstatecorporation.com/}},,"{{flatlist|
* [[Auto insurance|Auto]], [[Home insurance|Home]], [[Life insurance|Life]], [[Motorcycle insurance|Motorcycle]], [[Renters insurance|Renters]], [[Boat]], [[Landlord]], [[condominium|condo]], [[Off-road vehicle]], & [[Business]] [[Insurance]]
* [[Retirement]] & [[Investment]] products
* [[Banking]] services}}",,,{{Start date and age|1931|4|17}},,,,"[[Northbrook, Illinois]], U.S.",,,,"{{Unbulleted list|[[Encompass Insurance Company]]|[[Esurance]]|[[SquareTrade]]|Allstate Identity Protection (formerly InfoArmor, Inc.)|Allstate India|[[Allstate Northern Ireland]]|[[National General Insurance]]}}",,,,,,,,,,,,,,,,,,,,,[[Sears]] (1931–1995),,,,,
"Altria Group, Inc.",Altria logo.svg,,,,,"Philip Morris Companies, Inc. (1985–2003)",[[Public company|Public]],{{ubl|NYSE|MO|[[S&P 100]] component|[[S&P 500]] component}} [[DJIA]] component (until 2008) {{NYSE|MO}},,[[Tobacco industry|Tobacco]],,,,,Worldwide,Billy Gifford ([[chairman]] & [[CEO]]),{{decrease}} {{US$|24.02&nbsp;billion|link|=|yes}} (2024),{{decrease}} US$11.24&nbsp;billion (2024),{{increase}} US$11.26&nbsp;billion (2024),{{decrease}} US$35.18&nbsp;billion (2024),{{increasenegative}} −US$2.19&nbsp;billion (2024),"6,200 (2024)",{{URL|https://www.altria.com/|altria.com}},,,,,"{{Start date and age|1985}} (as Philip Morris Companies, Inc.)",,,,,"[[Reynolds Metals Company International Headquarters]]<br />[[Henrico County, Virginia]], U.S.",,,"{{plainlist|
* [[Philip Morris USA]]
* [[John Middleton Co.|John Middleton, Inc.]]
* [[U.S. Smokeless Tobacco Company]]
* [[Helix Innovations]]
* [[NJOY]]
* [[Horizon Innovations LLC]]}}",,,,,,,,,,,,,,,,,,,,,,,,,,
